val_loss,val_accuracy,val_auroc,val_precision,val_recall,epoch,step,train_loss,test_accuracy,test_auroc,test_precision,test_recall
13.142946243286133,0.25,0.5,0.25,1.0,0,8,,,,,
,,,,,0,8,14.863801002502441,,,,
5.876491069793701,0.75,0.5,0.0,0.0,1,17,,,,,
,,,,,1,17,9.211716651916504,,,,
0.8796079158782959,0.75,0.5,0.0,0.0,2,26,,,,,
,,,,,2,26,4.176215171813965,,,,
1.1191649436950684,0.75,0.5,0.0,0.0,3,35,,,,,
,,,,,3,35,2.307760715484619,,,,
0.9331077933311462,0.75,0.5,0.0,0.0,4,44,,,,,
,,,,,4,44,1.5781065225601196,,,,
0.6130254864692688,0.75,0.5,0.0,0.0,5,53,,,,,
,,,,,5,53,1.3304684162139893,,,,
,,,,,6,54,,0.2531645596027374,0.5,0.2531645596027374,1.0
,,,,,6,54,,0.746835470199585,0.5,0.0,0.0
,,,,,6,54,,0.746835470199585,0.5,0.0,0.0
