What,Where,Why
Article that proposed the X-Caps model,https://arxiv.org/pdf/1909.05926,To build upon when implementing a XAI model based on capsule networks
Article that proposed the Proto-Caps model,https://arxiv.org/pdf/2310.15741,To build upon when implementing a XAI model based on capsule networks
