val_loss,val_accuracy,val_auroc,val_precision,val_recall,epoch,step,train_loss,test_accuracy,test_auroc,test_precision,test_recall
0.3898467421531677,0.71875,0.4791666567325592,0.0,0.0,0,17,,,,,
,,,,,0,17,0.42406216263771057,,,,
0.36966457962989807,0.75,0.5,0.0,0.0,1,35,,,,,
,,,,,1,35,0.3799254596233368,,,,
0.43631160259246826,0.75,0.5,0.0,0.0,2,53,,,,,
,,,,,2,53,0.38459205627441406,,,,
0.39427605271339417,0.75,0.5,0.0,0.0,3,71,,,,,
,,,,,3,71,0.382129430770874,,,,
0.37860339879989624,0.75,0.5,0.0,0.0,4,89,,,,,
,,,,,4,89,0.37015774846076965,,,,
0.3869723379611969,0.75,0.5,0.0,0.0,5,107,,,,,
,,,,,5,107,0.36696428060531616,,,,
0.8065884709358215,0.375,0.5,0.25,0.75,6,125,,,,,
,,,,,6,125,0.37174972891807556,,,,
,,,,,7,126,,0.746835470199585,0.5,0.0,0.0
,,,,,7,126,,0.746835470199585,0.5,0.0,0.0
