val_loss,val_accuracy,val_auroc,val_precision,val_recall,epoch,step,train_loss,test_accuracy,test_auroc,test_precision,test_recall
0.40879589319229126,0.75,0.5,0.0,0.0,0,17,,,,,
,,,,,0,17,0.41878876090049744,,,,
0.37485840916633606,0.75,0.5,0.0,0.0,1,35,,,,,
,,,,,1,35,0.3808955252170563,,,,
0.36158597469329834,0.75,0.5,0.0,0.0,2,53,,,,,
,,,,,2,53,0.3695800304412842,,,,
0.3631381094455719,0.75,0.5,0.0,0.0,3,71,,,,,
,,,,,3,71,0.36767467856407166,,,,
0.36144503951072693,0.75,0.5,0.0,0.0,4,89,,,,,
,,,,,4,89,0.3645362854003906,,,,
0.36056751012802124,0.75,0.5,0.0,0.0,5,107,,,,,
,,,,,5,107,0.36467599868774414,,,,
,,,,,6,108,,0.7564102411270142,0.5,0.0,0.0
,,,,,6,108,,0.7564102411270142,0.5,0.0,0.0
,,,,,6,108,,0.7564102411270142,0.5,0.0,0.0
