val_loss,val_accuracy,val_auroc,val_precision,val_recall,epoch,step,train_loss,test_accuracy,test_auroc,test_precision,test_recall
0.46640437841415405,0.25,0.5,0.25,1.0,0,8,,,,,
,,,,,0,8,0.45889171957969666,,,,
0.4661373496055603,0.25,0.5,0.25,1.0,1,17,,,,,
,,,,,1,17,0.4566717743873596,,,,
0.4664889872074127,0.25,0.5,0.25,1.0,2,26,,,,,
,,,,,2,26,0.45081382989883423,,,,
0.46750009059906006,0.25,0.5,0.25,1.0,3,35,,,,,
,,,,,3,35,0.44717487692832947,,,,
0.4669305086135864,0.25,0.5,0.25,1.0,4,44,,,,,
,,,,,4,44,0.44662749767303467,,,,
,,,,,5,45,,0.25,0.5,0.25,1.0
,,,,,5,45,,0.25,0.5,0.25,1.0
,,,,,5,45,,0.25,0.5,0.25,1.0
