val_loss,val_accuracy,val_auroc,val_precision,val_recall,epoch,step,train_loss
0.3757840096950531,0.75,0.5,0.0,0.0,0,29,
,,,,,0,29,0.699800431728363
0.3760491907596588,0.75,0.5,0.0,0.0,1,59,
,,,,,1,59,0.38127848505973816
0.38114243745803833,0.75,0.5,0.0,0.0,2,89,
,,,,,2,89,0.3780616819858551
0.37703821063041687,0.75,0.5,0.0,0.0,3,119,
,,,,,3,119,0.3797294795513153
0.3785894215106964,0.75,0.5,0.0,0.0,4,149,
,,,,,4,149,0.3800217807292938
