val_loss,val_accuracy,val_auroc,val_precision,val_recall,epoch,step,train_loss,test_accuracy,test_auroc,test_precision,test_recall
0.46488630771636963,0.25,0.5,0.25,1.0,0,8,,,,,
,,,,,0,8,0.4670540988445282,,,,
0.4680051803588867,0.25,0.5,0.25,1.0,1,17,,,,,
,,,,,1,17,0.4638926088809967,,,,
0.4689258933067322,0.25,0.5,0.25,1.0,2,26,,,,,
,,,,,2,26,0.4594859480857849,,,,
0.4704131484031677,0.25,0.5,0.25,1.0,3,35,,,,,
,,,,,3,35,0.46099790930747986,,,,
0.47257161140441895,0.25,0.5,0.25,1.0,4,44,,,,,
,,,,,4,44,0.4578227400779724,,,,
,,,,,5,45,,0.25,0.5,0.25,1.0
,,,,,5,45,,0.25,0.5,0.25,1.0
,,,,,5,45,,0.25,0.5,0.25,1.0
