val_loss,val_accuracy,val_auroc,val_precision,val_recall,epoch,step,train_loss,test_accuracy,test_auroc,test_precision,test_recall
6.50294303894043,0.59375,0.5208333134651184,0.27272728085517883,0.375,0,17,,,,,
,,,,,0,17,0.5644041895866394,,,,
1.2832870483398438,0.75,0.5,0.0,0.0,1,35,,,,,
,,,,,1,35,0.38003677129745483,,,,
1.3436477184295654,0.75,0.5,0.0,0.0,2,53,,,,,
,,,,,2,53,0.37289848923683167,,,,
0.43311917781829834,0.71875,0.4791666567325592,0.0,0.0,3,71,,,,,
,,,,,3,71,0.3810078799724579,,,,
0.3997754454612732,0.75,0.5,0.0,0.0,4,89,,,,,
,,,,,4,89,0.3834162950515747,,,,
0.48018214106559753,0.75,0.5,0.0,0.0,5,107,,,,,
,,,,,5,107,0.38396909832954407,,,,
,,,,,6,108,,0.7215189933776855,0.4929824471473694,0.20000000298023224,0.052631575614213943
,,,,,6,108,,0.7594936490058899,0.5,0.0,0.0
,,,,,6,108,,0.7594936490058899,0.5,0.0,0.0
