val_loss,val_accuracy,val_auroc,val_precision,val_recall,epoch,step,train_loss,test_accuracy,test_auroc,test_precision,test_recall
6.428485870361328,0.75,0.5,0.0,0.0,0,8,,,,,
,,,,,0,8,17.491092681884766,,,,
1.293685793876648,0.75,0.5,0.0,0.0,1,17,,,,,
,,,,,1,17,6.720867156982422,,,,
2.641176462173462,0.75,0.5,0.0,0.0,2,26,,,,,
,,,,,2,26,4.295010089874268,,,,
1.9949036836624146,0.75,0.5,0.0,0.0,3,35,,,,,
,,,,,3,35,3.0983431339263916,,,,
1.5420998334884644,0.75,0.5,0.0,0.0,4,44,,,,,
,,,,,4,44,2.085188865661621,,,,
1.5064342021942139,0.75,0.5,0.0,0.0,5,53,,,,,
,,,,,5,53,1.965264916419983,,,,
,,,,,6,54,,0.746835470199585,0.5,0.0,0.0
,,,,,6,54,,0.746835470199585,0.5,0.0,0.0
,,,,,6,54,,0.746835470199585,0.5,0.0,0.0
