val_loss,val_accuracy,val_auroc,val_precision,val_recall,epoch,step,test_accuracy,test_auroc,test_precision,test_recall
246251.6875,0.5,0.5,0.5,1.0,0,0,,,,
,,,,,0,1,0.5,0.5,0.5,1.0
,,,,,0,1,0.5,0.5,0.5,1.0
