val_loss,val_accuracy,val_auroc,val_precision,val_recall,epoch,step
0.41513827443122864,0.625,0.4427083432674408,0.0,0.0,0,70
0.38780438899993896,0.75,0.5677083730697632,0.0,0.0,1,141
0.41588065028190613,0.75,0.46875,0.0,0.0,2,212
0.38601812720298767,0.75,0.4635416865348816,0.0,0.0,3,283
0.3763066828250885,0.75,0.28125,0.0,0.0,4,354
0.3747204542160034,0.75,0.5625,0.0,0.0,5,425
0.3749609589576721,0.75,0.359375,0.0,0.0,6,496
0.3745124340057373,0.75,0.3802083730697632,0.0,0.0,7,567
0.3743864893913269,0.75,0.4791666567325592,0.0,0.0,8,638
0.3751794993877411,0.75,0.4427083134651184,0.0,0.0,9,709
0.3739114999771118,0.75,0.4895833134651184,0.0,0.0,10,780
0.3743056356906891,0.75,0.578125,0.0,0.0,11,851
0.3788798749446869,0.75,0.4635416269302368,0.0,0.0,12,922
0.37361595034599304,0.75,0.4010416865348816,0.0,0.0,13,993
0.3732019364833832,0.75,0.3697916567325592,0.0,0.0,14,1064
0.373016357421875,0.75,0.3229166567325592,0.0,0.0,15,1135
0.3737644851207733,0.75,0.296875,0.0,0.0,16,1206
0.3721984922885895,0.75,0.2916666567325592,0.0,0.0,17,1277
0.3718406856060028,0.75,0.28125,0.0,0.0,18,1348
0.374146431684494,0.75,0.2864583134651184,0.0,0.0,19,1419
0.37396439909935,0.75,0.2760416567325592,0.0,0.0,20,1490
0.3742067515850067,0.75,0.2864583432674408,0.0,0.0,21,1561
0.3717285990715027,0.75,0.3072916865348816,0.0,0.0,22,1632
0.3711239993572235,0.75,0.2708333134651184,0.0,0.0,23,1703
0.3784025013446808,0.75,0.4166666865348816,0.0,0.0,24,1774
0.3747052550315857,0.75,0.3177083432674408,0.0,0.0,25,1845
0.3761496841907501,0.75,0.640625,0.0,0.0,26,1916
0.3744460344314575,0.75,0.640625,0.0,0.0,27,1987
0.37421515583992004,0.75,0.5989583730697632,0.0,0.0,28,2058
0.3742885887622833,0.75,0.671875,0.0,0.0,29,2129
0.3760193884372711,0.75,0.5833333134651184,0.0,0.0,30,2200
0.3752855956554413,0.75,0.5208333730697632,0.0,0.0,31,2271
0.3855941593647003,0.75,0.65625,0.0,0.0,32,2342
0.3745919466018677,0.75,0.375,0.0,0.0,33,2413
0.4285522997379303,0.75,0.3125000298023224,0.0,0.0,34,2484
0.3821133077144623,0.75,0.4322916865348816,0.0,0.0,35,2555
0.37849146127700806,0.75,0.3697916865348816,0.0,0.0,36,2626
0.3732762336730957,0.75,0.3854166865348816,0.0,0.0,37,2697
0.37451499700546265,0.75,0.3072916865348816,0.0,0.0,38,2768
0.3768891990184784,0.75,0.3333333432674408,0.0,0.0,39,2839
0.3680291771888733,0.75,0.2760416567325592,0.0,0.0,40,2910
0.38108494877815247,0.75,0.4791666567325592,0.0,0.0,41,2981
0.374306321144104,0.75,0.3593750298023224,0.0,0.0,42,3052
0.37457582354545593,0.75,0.5104166865348816,0.0,0.0,43,3123
0.37517833709716797,0.75,0.4635416567325592,0.0,0.0,44,3194
