val_loss,val_accuracy,val_auroc,val_precision,val_recall,epoch,step,train_loss,test_accuracy,test_auroc,test_precision,test_recall
4.620638370513916,0.75,0.5,0.0,0.0,0,8,,,,,
,,,,,0,8,11.896775245666504,,,,
3.8934502601623535,0.75,0.5,0.0,0.0,1,17,,,,,
,,,,,1,17,5.778770446777344,,,,
2.075269937515259,0.75,0.5,0.0,0.0,2,26,,,,,
,,,,,2,26,3.399963855743408,,,,
1.071187973022461,0.75,0.5,0.0,0.0,3,35,,,,,
,,,,,3,35,2.7893707752227783,,,,
1.3729140758514404,0.75,0.5,0.0,0.0,4,44,,,,,
,,,,,4,44,2.1977689266204834,,,,
1.4476954936981201,0.75,0.5,0.0,0.0,5,53,,,,,
,,,,,5,53,1.5828202962875366,,,,
,,,,,6,54,,0.7594936490058899,0.5,0.0,0.0
,,,,,6,54,,0.7594936490058899,0.5,0.0,0.0
,,,,,6,54,,0.7594936490058899,0.5,0.0,0.0
